"packageId","routeId","moduleId","lessonId","activityId","activityOrder","visibleTitle","practiceType","helpAvailable","independentDemonstration","transfer","retention","requestedEvidence","impliesPhysicalSkill","currentEvidenceLevel","recommendedEvidenceLevel","executionTier","risk","objectiveAlignment","recommendedAction","manualReviewRequired"
"wplab.horology.functional-map","route.horology.orientation","module.horology.functional-map","lesson.horology.system","activity.horology.classify-subsystems","1","Comprobar qué hace el tren de ruedas","prediction / guided-practice","[""graduated-hints:6"",""support:guided"",""worked-example"",""graduated-attempts""]","false","false","false","[""evidence.horology.subsystem-classification:answer""]","false","K","V","simulation","normal","aligned","keep","false"
"wplab.horology.functional-map","route.horology.orientation","module.horology.functional-map","lesson.horology.mechanical-chain","activity.horology.order-mechanical-chain","1","Ordenar la cadena mecánica","guided-practice / mastery-check","[""graduated-hints:6"",""support:independent"",""worked-example"",""graduated-attempts""]","true","false","false","[""evidence.horology.mechanical-sequence:procedure""]","false","V","P","simulation","normal","partial","keep","false"
"wplab.horology.functional-map","route.horology.orientation","module.horology.functional-map","lesson.horology.mechanical-chain","activity.horology.identify-escapement-oscillator","2","Identificar escape, volante y espiral","guided-practice / independent-practice","[""graduated-hints:6"",""support:faded"",""worked-example"",""graduated-attempts""]","false","false","false","[""evidence.horology.component-selection:answer""]","false","K","P","simulation","normal","partial","keep","false"
"wplab.horology.functional-map","route.horology.orientation","module.horology.functional-map","lesson.horology.quartz-chain","activity.horology.order-quartz-chain","1","Ordenar la cadena de cuarzo","guided-practice / mastery-check","[""graduated-hints:6"",""support:independent"",""worked-example"",""graduated-attempts""]","true","false","false","[""evidence.horology.quartz-sequence:procedure"",""evidence.horology.hint-use:observation""]","false","V","V","simulation","normal","partial","keep","false"
"wplab.horology.functional-map","route.horology.orientation","module.horology.functional-map","lesson.horology.quartz-chain","activity.horology.identify-time-reference","2","Identificar la referencia temporal","guided-practice / independent-practice","[""graduated-hints:6"",""support:faded"",""worked-example"",""graduated-attempts""]","false","false","false","[""evidence.horology.component-selection:answer""]","false","K","V","simulation","normal","partial","keep","false"
"wplab.horology.functional-map","route.horology.orientation","module.horology.functional-map","lesson.horology.functional-equivalence","activity.horology.match-functional-equivalents","1","Emparejar equivalencias funcionales","prediction / transfer","[""graduated-hints:6"",""support:independent"",""worked-example"",""graduated-attempts""]","true","true","false","[""evidence.horology.functional-comparison:answer""]","false","K","V","simulation","historical-non-actionable","partial","keep","false"
"wplab.horology.functional-map","route.horology.orientation","module.horology.functional-map","lesson.horology.failure-prediction","activity.horology.predict-interruption","1","Predecir una interrupción","prediction / completion-problem","[""graduated-hints:6"",""support:faded"",""worked-example"",""graduated-attempts""]","false","false","false","[""evidence.horology.interruption-prediction:answer""]","false","K","V","simulation","historical-non-actionable","partial","keep","false"
"wplab.horology.functional-map","route.horology.orientation","module.horology.functional-map","lesson.horology.failure-prediction","activity.horology.select-affected-subsystem","2","Seleccionar el subsistema afectado","guided-practice / transfer","[""graduated-hints:6"",""support:independent"",""worked-example"",""graduated-attempts""]","true","true","false","[""evidence.horology.affected-subsystem:answer""]","false","K","V","simulation","historical-non-actionable","partial","keep","false"
"wplab.horology.functional-map","route.horology.orientation","module.horology.functional-map","lesson.horology.failure-prediction","activity.horology.justify-hypothesis","3","Justificar una hipótesis","explanation / mastery-check","[""graduated-hints:6"",""support:independent"",""worked-example"",""graduated-attempts""]","true","false","false","[""evidence.horology.structured-justification:human-review""]","false","R","V","simulation","historical-non-actionable","partial","keep","false"
"wplab.horology.functional-map","route.horology.orientation","module.horology.functional-map","lesson.horology.isa8172-confidence","activity.horology.isa-confidence-map","1","Crear un mapa de confianza del ISA 8172","prediction / mastery-check","[""graduated-hints:6"",""support:independent"",""worked-example"",""graduated-attempts""]","true","false","false","[""evidence.horology.source-consultation:observation"",""evidence.horology.confidence-declaration:answer""]","false","K","V","simulation","normal","partial","keep","false"
