"packageId","packageVersion","routeId","moduleId","lessonId","visibleTitle","currentOrder","routeOrder","moduleOrder","lessonOrder","currentType","proposedCurriculumStage","curriculumCategory","currentObservableObjective","objectiveQuality","currentLearningArchetype","recommendedLearningArchetype","declaredPrimarySource","secondarySources","currentCitations","citationPrecision","requiredConcepts","prerequisiteProblems","improperHigherDependencies","visualCoverage","requiredVisuals","currentEvidenceLevel","recommendedEvidenceLevel","executionTier","safetyStatus","historicalStatus","languageProblems","editorialProblems","editorialStatus","recommendedAction","priority","priorityScore","priorityBreakdown","reason","manualReviewRequired"
"wplab.horology.functional-map","0.5.0","route.horology.orientation","module.horology.functional-map","lesson.horology.system","Un reloj no es una colección de ruedas","1","1","1","1","pretraining / explanation","1-understand-watch-as-system","","Clasificar elementos por su función observable.","specific-observable","mechanism-explanation","mechanism-explanation","source.horology.private-book.functional-systems","[""source.horology.original-functional-map""]","[""source.horology.original-functional-map""]","chapter-or-section","[]","[]","[]","2/2 declared visuals ready or approved","[""causal schematic or state animation""]","K","V","simulation","normal","unknown","[""lesson.title"",""lesson.purpose"",""lesson.objectives[0]"",""lesson.objectives[1]"",""lesson.objectives[2]"",""activity.horology.classify-subsystems.title"",""activity.horology.classify-subsystems.description""]","[""identical-english-spanish"",""foreign-lesson-title"",""overbroad-citation"",""numeric-data-without-locator""]","needs-source-review","edit","medium","50","[{""reason"":""incidencias ponderadas"",""points"":30},{""reason"":""primeras experiencias del principiante"",""points"":20}]","Campos localizados en inglés repiten literalmente el español. El cuerpo contiene el título de otra lección; puede ser referencia válida o contaminación de plantilla. Una o más fuentes se citan a nivel de capítulo, documento o sin localizador. Hay datos numéricos o relaciones cuantitativas sin página, figura o tabla aplicable.","true"
"wplab.horology.functional-map","0.5.0","route.horology.orientation","module.horology.functional-map","lesson.horology.mechanical-chain","La cadena mecánica","2","1","1","2","conceptual-model / explanation","1-understand-watch-as-system","","Ordenar las etapas de la cadena mecánica.","generic","mechanism-explanation","psychomotor-skill","source.miyota.8215.product-page","[""source.miyota.8215.parts-list-exploded-view"",""source.horology.private-book.functional-systems"",""source.horology.original-functional-map""]","[""source.miyota.8215.parts-list-exploded-view""]","chapter-or-section","[""concept.horology.functional-chain"",""concept.horology.part-language""]","[]","[]","3/3 declared visuals ready or approved","[""multi-angle physical demonstration and reviewed result""]","V","P","simulation","normal","unknown","[""lesson.title"",""lesson.purpose"",""lesson.objectives[0]"",""lesson.objectives[1]"",""lesson.objectives[2]"",""activity.horology.order-mechanical-chain.title"",""activity.horology.order-mechanical-chain.description"",""activity.horology.identify-escapement-oscillator.title"",""activity.horology.identify-escapement-oscillator.description""]","[""identical-english-spanish"",""foreign-lesson-title"",""overbroad-citation"",""numeric-data-without-locator"",""automatic-segmentation-break""]","needs-source-review","split","high","56","[{""reason"":""incidencias ponderadas"",""points"":36},{""reason"":""primeras experiencias del principiante"",""points"":20}]","Campos localizados en inglés repiten literalmente el español. El cuerpo contiene el título de otra lección; puede ser referencia válida o contaminación de plantilla. Una o más fuentes se citan a nivel de capítulo, documento o sin localizador. Hay datos numéricos o relaciones cuantitativas sin página, figura o tabla aplicable.","true"
"wplab.horology.functional-map","0.5.0","route.horology.orientation","module.horology.functional-map","lesson.horology.quartz-chain","La cadena del cuarzo","3","1","1","3","conceptual-model / explanation","1-understand-watch-as-system","","Ordenar las seis etapas de la cadena de cuarzo.","generic","mechanism-explanation","mechanism-explanation","source.miyota.2035.product-page","[""source.miyota.2035.parts-list-exploded-view"",""source.horology.original-functional-map""]","[""source.miyota.2035.parts-list-exploded-view""]","document","[""concept.horology.functional-chain"",""concept.horology.mechanical-chain""]","[]","[]","3/3 declared visuals ready or approved","[""causal schematic or state animation""]","V","V","simulation","normal","unknown","[""lesson.title"",""lesson.purpose"",""lesson.objectives[0]"",""lesson.objectives[1]"",""lesson.objectives[2]"",""activity.horology.order-quartz-chain.title"",""activity.horology.order-quartz-chain.description"",""activity.horology.identify-time-reference.title"",""activity.horology.identify-time-reference.description""]","[""identical-english-spanish"",""overbroad-citation"",""numeric-data-without-locator"",""automatic-segmentation-break""]","needs-source-review","split","medium","50","[{""reason"":""incidencias ponderadas"",""points"":30},{""reason"":""primeras experiencias del principiante"",""points"":20}]","Campos localizados en inglés repiten literalmente el español. Una o más fuentes se citan a nivel de capítulo, documento o sin localizador. Hay datos numéricos o relaciones cuantitativas sin página, figura o tabla aplicable. La segmentación automática divide una sección larga en continuaciones que requieren revisión de unidad conceptual.","true"
"wplab.horology.functional-map","0.5.0","route.horology.orientation","module.horology.functional-map","lesson.horology.functional-equivalence","Cuarzo y mecánico: equivalencias funcionales","4","1","1","4","transfer / explanation","1-understand-watch-as-system","","Emparejar seis funciones en cuarzo y mecánico.","generic","mechanism-explanation","mechanism-explanation","source.miyota.2035.parts-list-exploded-view","[""source.horology.original-functional-map""]","[""source.horology.original-functional-map""]","document","[""concept.horology.quartz-chain"",""concept.horology.mechanical-chain""]","[]","[]","2/2 declared visuals ready or approved","[""causal schematic or state animation""]","K","V","simulation","historical-non-actionable","unknown","[""lesson.title"",""lesson.purpose"",""lesson.objectives[0]"",""lesson.objectives[1]"",""lesson.objectives[2]"",""activity.horology.match-functional-equivalents.title"",""activity.horology.match-functional-equivalents.description""]","[""identical-english-spanish"",""overbroad-citation"",""numeric-data-without-locator"",""hazardous-historical-procedure"",""automatic-segmentation-break""]","needs-safety-review","manual-review","high","75","[{""reason"":""incidencias ponderadas"",""points"":55},{""reason"":""primeras experiencias del principiante"",""points"":20}]","Campos localizados en inglés repiten literalmente el español. Una o más fuentes se citan a nivel de capítulo, documento o sin localizador. Hay datos numéricos o relaciones cuantitativas sin página, figura o tabla aplicable. La lección o sus fuentes contienen un procedimiento histórico peligroso; no debe convertirse en instrucción accionable.","true"
"wplab.horology.functional-map","0.5.0","route.horology.orientation","module.horology.functional-map","lesson.horology.failure-prediction","Predicción de fallos","5","1","1","5","transfer / explanation","1-understand-watch-as-system","","Predecir la consecuencia de dos interrupciones.","specific-observable","mechanism-explanation","mechanism-explanation","source.horology.original-functional-map","[]","[""source.horology.original-functional-map""]","missing","[""concept.horology.functional-equivalence"",""concept.horology.functional-chain""]","[]","[]","2/2 declared visuals ready or approved","[""causal schematic or state animation""]","R","V","simulation","historical-non-actionable","unknown","[""lesson.title"",""lesson.purpose"",""lesson.objectives[0]"",""lesson.objectives[1]"",""lesson.objectives[2]"",""activity.horology.predict-interruption.title"",""activity.horology.predict-interruption.description"",""activity.horology.select-affected-subsystem.title"",""activity.horology.select-affected-subsystem.description"",""activity.horology.justify-hypothesis.title"",""activity.horology.justify-hypothesis.description""]","[""identical-english-spanish"",""overbroad-citation"",""numeric-data-without-locator"",""hazardous-historical-procedure"",""automatic-segmentation-break""]","needs-safety-review","manual-review","high","75","[{""reason"":""incidencias ponderadas"",""points"":55},{""reason"":""primeras experiencias del principiante"",""points"":20}]","Campos localizados en inglés repiten literalmente el español. Una o más fuentes se citan a nivel de capítulo, documento o sin localizador. Hay datos numéricos o relaciones cuantitativas sin página, figura o tabla aplicable. La lección o sus fuentes contienen un procedimiento histórico peligroso; no debe convertirse en instrucción accionable.","true"
"wplab.horology.functional-map","0.5.0","route.horology.orientation","module.horology.functional-map","lesson.horology.isa8172-confidence","Lo que ya conoces por el ISA 8172","6","1","1","6","guided-practice / explanation","1-understand-watch-as-system","","Clasificar la autoridad de una afirmación.","specific-observable","mechanism-explanation","mechanism-explanation","source.horology.original-functional-map","[]","[""source.horology.original-functional-map""]","missing","[""concept.horology.quartz-chain"",""concept.horology.system-interruption""]","[]","[]","2/2 declared visuals ready or approved","[""causal schematic or state animation""]","K","V","simulation","normal","unknown","[""lesson.title"",""lesson.purpose"",""lesson.objectives[0]"",""lesson.objectives[1]"",""lesson.objectives[2]"",""activity.horology.isa-confidence-map.title"",""activity.horology.isa-confidence-map.description""]","[""identical-english-spanish"",""overbroad-citation"",""numeric-data-without-locator"",""automatic-segmentation-break""]","needs-source-review","split","medium","50","[{""reason"":""incidencias ponderadas"",""points"":30},{""reason"":""primeras experiencias del principiante"",""points"":20}]","Campos localizados en inglés repiten literalmente el español. Una o más fuentes se citan a nivel de capítulo, documento o sin localizador. Hay datos numéricos o relaciones cuantitativas sin página, figura o tabla aplicable. La segmentación automática divide una sección larga en continuaciones que requieren revisión de unidad conceptual.","true"
"wplab.horology.watchmaking-encyclopedia","1.1.0","route.encyclopedia.history-language","module.encyclopedia.history-language.medir-el-tiempo","lesson.encyclopedia.history-language.medir-el-tiempo","Medir el tiempo: referencia, oscilador y contador","7","2","1","1","conceptual-model / explanation","1-understand-watch-as-system","enrichment","Explicar Medir el tiempo: referencia, oscilador y contador mediante relaciones causales.","specific-observable","historical-comparison","psychomotor-skill","source.external.horology-student.books","[""source.external.hodinkee-watch101"",""source.encyclopedia.original-synthesis""]","[""source.encyclopedia.original-synthesis"",""source.external.hodinkee-watch101"",""source.external.horology-student.books""]","document","[]","[]","[]","0/0 declared visuals ready or approved","[""multi-angle physical demonstration and reviewed result""]","K","P","home-bench","historical-non-actionable","unknown","[""lesson.title"",""lesson.purpose"",""lesson.objectives[0]"",""lesson.objectives[1]"",""lesson.objectives[2]"",""activity.encyclopedia.history-language.medir-el-tiempo.title"",""activity.encyclopedia.history-language.medir-el-tiempo.description""]","[""identical-english-spanish"",""redundant-names"",""overbroad-citation"",""numeric-data-without-locator"",""hazardous-historical-procedure"",""modern-safety-source-required"",""inadequate-visual-support"",""automatic-segmentation-break"",""specialist-work-misclassified-home"",""single-lesson-module"",""physical-skill-digital-only""]","needs-safety-review","manual-review","critical","80","[{""reason"":""incidencias ponderadas"",""points"":60},{""reason"":""primeras experiencias del principiante"",""points"":20}]","Campos localizados en inglés repiten literalmente el español. Los nombres de módulo y lección son redundantes. Una o más fuentes se citan a nivel de capítulo, documento o sin localizador. Hay datos numéricos o relaciones cuantitativas sin página, figura o tabla aplicable.","true"
"wplab.horology.watchmaking-encyclopedia","1.1.0","route.encyclopedia.history-language","module.encyclopedia.history-language.del-reloj-fijo-al-portatil","lesson.encyclopedia.history-language.del-reloj-fijo-al-portatil","Del reloj fijo al reloj portátil","8","2","2","1","conceptual-model / explanation","1-understand-watch-as-system","enrichment","Explicar Del reloj fijo al reloj portátil mediante relaciones causales.","specific-observable","historical-comparison","manufacturing","source.external.jomashop-history","[""source.external.hodinkee-watch101"",""source.external.pocket-watch-database"",""source.encyclopedia.original-synthesis""]","[""source.external.hodinkee-watch101"",""source.external.jomashop-history"",""source.external.pocket-watch-database""]","document","[""concept.encyclopedia.history-language.medir-el-tiempo.referencia-temporal"",""concept.encyclopedia.history-language.medir-el-tiempo.oscilador"",""concept.encyclopedia.history-language.medir-el-tiempo.conteo-y-visualizacion""]","[]","[]","0/0 declared visuals ready or approved","[""dimensioned drawing, workholding, and operation states""]","K","R","simulation","normal","unknown","[""lesson.title"",""lesson.purpose"",""lesson.objectives[0]"",""lesson.objectives[1]"",""lesson.objectives[2]"",""activity.encyclopedia.history-language.del-reloj-fijo-al-portatil.title"",""activity.encyclopedia.history-language.del-reloj-fijo-al-portatil.description""]","[""identical-english-spanish"",""redundant-names"",""overbroad-citation"",""numeric-data-without-locator"",""inadequate-visual-support"",""automatic-segmentation-break"",""single-lesson-module""]","needs-source-review","split","high","66","[{""reason"":""incidencias ponderadas"",""points"":46},{""reason"":""primeras experiencias del principiante"",""points"":20}]","Campos localizados en inglés repiten literalmente el español. Los nombres de módulo y lección son redundantes. Una o más fuentes se citan a nivel de capítulo, documento o sin localizador. Hay datos numéricos o relaciones cuantitativas sin página, figura o tabla aplicable.","true"
"wplab.horology.watchmaking-encyclopedia","1.1.0","route.encyclopedia.history-language","module.encyclopedia.history-language.evolucion-de-los-escapes","lesson.encyclopedia.history-language.evolucion-de-los-escapes","Evolución de los escapes y de la regulación","9","2","3","1","conceptual-model / explanation","1-understand-watch-as-system","enrichment","Explicar Evolución de los escapes y de la regulación mediante relaciones causales.","specific-observable","historical-comparison","manufacturing","source.private.daniels.escapements","[""source.external.timezone-horologium"",""source.external.horology-student.books""]","[""source.external.horology-student.books"",""source.external.timezone-horologium"",""source.private.daniels.escapements [p.214-271; Escapements]""]","page-or-figure","[""concept.encyclopedia.history-language.del-reloj-fijo-al-portatil.portabilidad"",""concept.encyclopedia.history-language.del-reloj-fijo-al-portatil.reserva-de-marcha"",""concept.encyclopedia.history-language.del-reloj-fijo-al-portatil.sensibilidad-posicional""]","[]","[]","0/0 declared visuals ready or approved","[""dimensioned drawing, workholding, and operation states""]","K","R","simulation","normal","unknown","[""lesson.title"",""lesson.purpose"",""lesson.objectives[0]"",""lesson.objectives[1]"",""lesson.objectives[2]"",""activity.encyclopedia.history-language.evolucion-de-los-escapes.title"",""activity.encyclopedia.history-language.evolucion-de-los-escapes.description""]","[""identical-english-spanish"",""redundant-names"",""overbroad-citation"",""ocr-formula-unverified"",""inadequate-visual-support"",""automatic-segmentation-break"",""single-lesson-module""]","needs-source-review","manual-review","high","79","[{""reason"":""incidencias ponderadas"",""points"":59},{""reason"":""primeras experiencias del principiante"",""points"":20}]","Campos localizados en inglés repiten literalmente el español. Los nombres de módulo y lección son redundantes. Una o más fuentes se citan a nivel de capítulo, documento o sin localizador. Una fórmula vinculada a material OCR no consta como verificada visualmente.","true"
"wplab.horology.watchmaking-encyclopedia","1.1.0","route.encyclopedia.history-language","module.encyclopedia.history-language.industrializacion-y-familias","lesson.encyclopedia.history-language.industrializacion-y-familias","Industrialización, ébauches y familias de calibres","10","2","4","1","conceptual-model / explanation","1-understand-watch-as-system","enrichment","Explicar Industrialización, ébauches y familias de calibres mediante relaciones causales.","specific-observable","historical-comparison","psychomotor-skill","source.external.watchbase","[""source.external.ranfft"",""source.external.caliber-corner"",""source.external.worn-wound-caliber-spec"",""source.encyclopedia.original-synthesis""]","[""source.external.caliber-corner"",""source.external.ranfft"",""source.external.watchbase""]","document","[""concept.encyclopedia.history-language.evolucion-de-los-escapes.bloqueo"",""concept.encyclopedia.history-language.evolucion-de-los-escapes.impulso"",""concept.encyclopedia.history-language.evolucion-de-los-escapes.desenganche""]","[]","[]","0/0 declared visuals ready or approved","[""multi-angle physical demonstration and reviewed result""]","K","P","simulation","normal","unknown","[""lesson.title"",""lesson.purpose"",""lesson.objectives[0]"",""lesson.objectives[1]"",""lesson.objectives[2]"",""activity.encyclopedia.history-language.industrializacion-y-familias.title"",""activity.encyclopedia.history-language.industrializacion-y-familias.description""]","[""identical-english-spanish"",""redundant-names"",""overbroad-citation"",""numeric-data-without-locator"",""inadequate-visual-support"",""automatic-segmentation-break"",""calibre-content-general-theory-only"",""secondary-database-as-official"",""single-lesson-module""]","needs-source-review","manual-review","critical","80","[{""reason"":""incidencias ponderadas"",""points"":60},{""reason"":""primeras experiencias del principiante"",""points"":20}]","Campos localizados en inglés repiten literalmente el español. Los nombres de módulo y lección son redundantes. Una o más fuentes se citan a nivel de capítulo, documento o sin localizador. Hay datos numéricos o relaciones cuantitativas sin página, figura o tabla aplicable.","true"
